Sr.No.,Category,Name of Book,Author,Acc.No,Price ,quantity,availibility,Rack No.,accession_date,Classification/Section No.,Publisher ,Publisher Place,year,Pages,ISBN,Receipt No.,added_on
1,Education & Reference,Fundamentals of Mathematical Statistics,"Gupta,S.C.; Kapoor,V.K.",B.Ed./01,55,1,1,1,,,Sultan Chand & Sons,New Delhi,1988,1104,,,
2,Education & Reference,"School Organisation, Administration and Management","Agarwal,J.C.",B.Ed/02,30,1,1,1,,,Doaba house,New Delhi,1989,304,,,
3,Education & Reference,Fundamentals of Educational Psychology,"Walia,J.S.",B.Ed/03,,1,1,1,,,Paul Publishers,Punjab,1992,624,,,
4,Education & Reference,Educational and Vocational Guidance in Secondary School,"Kochar,S.K.",B.Ed/04,45,1,1,1,,,Sterling Publishers Pvt. Ltd.,New Delhi,1990,479,,,
5,Education & Reference,Evaluation in Schools,"Danderkar,W.N.",B.Ed/05,50,1,1,1,,370.15/DAN,Shri Vidya Prakashan,Poona,1986,382,,,
6,Education & Reference,Theory and Principles of Education,Bhatia and Bhatia,B.Ed/06,35,1,1,1,,,Doaba house,New Delhi,1986,440,,,
7,Education & Reference,Fundamentals of Experimental Psychology,"Dandekar,W.N.",B.Ed/07,300,1,1,1,,,Anmol Prakashan,Pune,1999,426,,,
8,Education & Reference,Distance Education Theory and Practice,"Manohar,Murali K.",B.Ed/08,250,1,1,1,,,Open Learning Society,Hyderabad,1996,240,,,
9,Education & Reference,Modern Science Teaching,"Sharma,R.C.",B.Ed/09,30,1,1,1,,,Dhanpat Rai & Sons,Delhi,1991,400,,,
10,Education & Reference,Guidance and Counselling,"Bengalee,Mehroo D.",B.Ed/10,50,1,1,1,,,Sheth publishers Pvt. Ltd.,Bombay,1990,426,,,
11,Education & Reference,Mighty Visions,"Kurhade,M.S.",B.Ed/11,200,1,1,1,,,Sanskar Sarjan Education Society,Mumbai,2010,155,,,
12,Education & Reference,National Council for Teacher Education,NCTE,B.Ed/12,100,1,1,1,,,NCTE,,2005,165,,,
13,Reference,Shalanche Pragatipustak,"kalpande,Vasant; Roy,Basanti",B.Ed/13,200,1,1,1,,,"Shikshan Vikas Manch, Yashvantrao Chavan Pratishtan",Mumbai,2012,196,,,
14,Reference,Vishwakosh Varshiki 2005,"Jichkar,Shrikant",B.Ed/14,375,1,1,1,,,Maharashtra Rajya Marathi Vishwakosh Nirmiti Mandal,Mumbai,2005,1054,,,
15,Reference,Shaikshanik Manasashatra,"Pandit,R.V",B.Ed/15,425,1,1,1,,,Pimpalapure & Com. Publishers,Nagpur,2009,560,,,
16,Education & Reference,Methods and Techniques of Teaching,"Kochar,S.K.",B.Ed/16,50,1,1,1,,,Sterling Publishers Prv.Lim.,New Delhi,1992,364,,,
17,Education & Reference,Teaching of Mathematics,"Mukharje, Sandhya",B.Ed/17,15.5,1,1,1,,,Railway Crossing,Lucknow,1986,216,,,
18,Education & Reference,Shaikshanik Manasashatra,"Potdar,Vasudha",B.Ed/18,50,1,1,1,,,Suhas Egency,Pune,1996,248,,,
19,Reference,Sanskriti Darshan,,B.Ed/19,20,1,1,1,,,Sat Vichar Darshan,Mumbai,1997,240,,,
20,Education & Reference,Theory and Principles of Education,Bhatia and Bhatia,B.Ed/20,40,1,1,1,,,Doaba house,Mumbai,1987,440,,,
21,Education & Reference,Adhyapak Bhumika va Karye,"Shivnekar,L.M. ",B.Ed/21,60,1,1,1,,,Nutan Prakashan,Pune,1992,176,,,
22,Reference,Satyanveshi Aandolan,"Jain,Sureshdada",B.Ed/22,,1,1,1,,,,Jalgaon,,28,,,
23,Education & Reference,Vyavsay Margadarshan aani Sallakarya,"Patki,S.M.",B.Ed/23,70,1,1,1,,,Milind Prakashan,Aurangabad,1984,355,,,
24,Education & Reference,Doaba M.Ed. Guide,"Khanna,D;Saxena,V.R.;Lamba,T.P.",B.Ed/24,80,1,1,1,,,Doaba house,Delhi,1990,0,,,
25,Education & Reference,Adhunik Shiksha ka Vikas,"Tyagi,G.S.D.",B.Ed/25,40,1,1,2,,370.15/TYA,Vinod Pustak Mandir,Agra,1988,255,,,
26,Education & Reference,Praudh Shiksha,"Pandey,Ramshakal;Mishr,Karunashankar",B.Ed/26,40,1,1,2,,370.15/RAM/IMA,Vinod Pustak Mandir,Agra,1996,176,,,
27,Novel,Pasha,"Solapurkar,Jyoti",B.Ed/27,60,1,1,2,,891/SOL,Jyotsna Prakashan,Pune,2012,103,,,
28,Education & Reference,Aashayayukta Adhyapan Paddhati,"Sarpotdar,P.A;Bhosale,A.V.",B.Ed/28,50,1,1,2,,370/SAR,Phadake Prakashan,Kolhapur,2002,92,,,
29,Reference,Rasayan Shastranche Karagir,"Talpade,C.R.",B.Ed/29,6,1,1,2,,540/TAL,Vinus Prakashan,Pune,1996,90,,,
30,Education & Reference,Adhunik Shiksha ka Vikas,"Tyagi,G.S.D.",B.Ed/30,40,1,1,2,,370.15/TYA,Vinod Pustak Mandir,Agra,1988,255,,,
31,Reference,Shikshan kala,"Maathur,S.S.",B.Ed/31,32,1,1,2,,370.15/MAA,Vinod Pustak Mandir,Agra,,257,,,
32,Education & Reference,Teaching of Human Rights,"Mohanty,Jagannath",B.Ed/32,240,1,1,2,,371.4/MOH,Deep & Deep Pub. Pvt. Lim.,Delhi,2005,325,,,
33,Novel,The Boxes,"Sleator,William",B.Ed/33,,1,1,2,,891/WIL,Penguin Groups,New York,1998,197,,,
34,Novel,The Crucible,"Miller,Arthur",B.Ed/34,,1,1,2,,891/ART,Penguin Books,England,1981,152,,,
